epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,459.337,0.95096,0.68709,1.05076,0.55644,0.4218,0.44617,0.26099,1.35014,1.17018,1.37136,0.00307,0.00307,0.00307
37,471.957,0.96917,0.70058,1.05855,0.52855,0.43226,0.45191,0.26493,1.34721,1.16527,1.36527,0.002872,0.002872,0.002872
38,484.473,0.93542,0.67563,1.05614,0.54026,0.42529,0.45054,0.26996,1.34599,1.18559,1.36929,0.002674,0.002674,0.002674
39,497.127,0.92019,0.65349,1.04627,0.5605,0.42683,0.45667,0.272,1.34128,1.15921,1.36052,0.002476,0.002476,0.002476
40,509.822,0.90714,0.64968,1.0365,0.59552,0.42934,0.46077,0.27375,1.3237,1.16778,1.35107,0.002278,0.002278,0.002278
41,523.202,0.91003,0.62011,1.02657,0.54979,0.42816,0.44751,0.2699,1.33682,1.1601,1.37184,0.00208,0.00208,0.00208
42,537.627,0.88463,0.59274,1.00152,0.58469,0.42209,0.45851,0.27547,1.33439,1.13898,1.36942,0.001882,0.001882,0.001882
43,550.15,0.8525,0.56325,0.98932,0.53648,0.45862,0.46499,0.28001,1.324,1.13268,1.36075,0.001684,0.001684,0.001684
44,562.711,0.85969,0.57175,0.99811,0.59347,0.42198,0.46121,0.28085,1.31321,1.12573,1.36107,0.001486,0.001486,0.001486
45,575.489,0.84919,0.5556,0.99146,0.5545,0.4415,0.46645,0.28118,1.30369,1.13074,1.35116,0.001288,0.001288,0.001288
46,587.991,0.82361,0.53485,0.97325,0.5936,0.42545,0.47104,0.28638,1.29993,1.12472,1.34867,0.00109,0.00109,0.00109
47,600.641,0.83317,0.54078,0.97438,0.56703,0.44331,0.47237,0.28501,1.29982,1.12342,1.34974,0.000892,0.000892,0.000892
48,612.949,0.82839,0.54723,0.97778,0.58927,0.43198,0.4733,0.28452,1.29882,1.12605,1.35244,0.000694,0.000694,0.000694
49,626.058,0.80087,0.5211,0.96926,0.62019,0.42421,0.47203,0.28323,1.30176,1.11633,1.35692,0.000496,0.000496,0.000496
50,638.383,0.81227,0.52839,0.9729,0.62195,0.42484,0.47387,0.2855,1.29895,1.1058,1.35533,0.000298,0.000298,0.000298
