epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0201,1.54289,3.28956,1.50236,0.59873,0.17651,0.1475,0.08722,1.33373,2.38271,1.41018,0.0721,0.0031,0.0031
2,27.8833,1.36715,1.77136,1.35032,0.61058,0.28366,0.28648,0.16362,1.28665,1.58981,1.36009,0.0431753,0.00617526,0.00617526
3,40.4878,1.3188,1.55119,1.28809,0.67126,0.30559,0.31357,0.18005,1.31085,1.92439,1.3614,0.0141238,0.0091238,0.0091238
4,53.8064,1.31229,1.43369,1.27351,0.49254,0.33556,0.31725,0.17895,1.39458,1.57591,1.40417,0.009406,0.009406,0.009406
5,66.8091,1.3151,1.37033,1.26489,0.46453,0.33292,0.31704,0.17749,1.421,1.5355,1.42969,0.009208,0.009208,0.009208
6,79.2021,1.30273,1.29308,1.27071,0.62898,0.29902,0.31868,0.17941,1.41411,1.52167,1.41791,0.00901,0.00901,0.00901
7,91.6754,1.2846,1.23691,1.26531,0.5576,0.32203,0.32493,0.18517,1.44977,1.55784,1.45309,0.008812,0.008812,0.008812
8,104.302,1.29898,1.18332,1.24124,0.43453,0.338,0.33316,0.18744,1.44042,1.46557,1.43731,0.008614,0.008614,0.008614
9,116.866,1.27003,1.18224,1.23486,0.42971,0.32328,0.3236,0.18294,1.4481,1.57403,1.46119,0.008416,0.008416,0.008416
10,129.359,1.26879,1.15525,1.23597,0.49475,0.32687,0.34485,0.19964,1.42479,1.5832,1.43379,0.008218,0.008218,0.008218
11,141.92,1.24599,1.1244,1.23716,0.52991,0.33596,0.35949,0.20636,1.416,1.48348,1.4217,0.00802,0.00802,0.00802
12,154.68,1.22314,1.10157,1.231,0.51557,0.35585,0.36067,0.20292,1.41695,1.41896,1.41925,0.007822,0.007822,0.007822
13,167.138,1.2223,1.0311,1.20133,0.52637,0.36769,0.35808,0.20791,1.4112,1.39101,1.42877,0.007624,0.007624,0.007624
14,179.702,1.21282,1.03575,1.19455,0.48465,0.36345,0.37583,0.21302,1.43368,1.3611,1.43442,0.007426,0.007426,0.007426
15,192.562,1.17368,0.99307,1.18224,0.59276,0.35797,0.39043,0.22314,1.41903,1.34647,1.41777,0.007228,0.007228,0.007228
16,205.206,1.17281,0.97134,1.17628,0.62479,0.37456,0.40205,0.22632,1.39617,1.32784,1.42671,0.00703,0.00703,0.00703
17,218.085,1.17416,0.94249,1.17392,0.48336,0.41298,0.40003,0.23237,1.40531,1.33285,1.4305,0.006832,0.006832,0.006832
18,230.778,1.16513,0.95451,1.17374,0.55858,0.36276,0.39068,0.22598,1.3869,1.32118,1.40332,0.006634,0.006634,0.006634
19,243.178,1.12196,0.93101,1.16376,0.54901,0.37932,0.39509,0.22889,1.37381,1.2774,1.38818,0.006436,0.006436,0.006436
20,255.634,1.1461,0.92047,1.15012,0.50583,0.3958,0.40267,0.2345,1.41264,1.25926,1.41238,0.006238,0.006238,0.006238
21,270.097,1.11111,0.88041,1.13944,0.60346,0.38598,0.41939,0.24635,1.39015,1.23071,1.391,0.00604,0.00604,0.00604
22,282.953,1.10095,0.87104,1.14223,0.55754,0.40475,0.40795,0.2405,1.35628,1.25097,1.36583,0.005842,0.005842,0.005842
23,295.458,1.11279,0.88093,1.1459,0.54801,0.39229,0.40893,0.23657,1.36405,1.24363,1.37454,0.005644,0.005644,0.005644
24,307.892,1.08804,0.86074,1.13409,0.53936,0.39732,0.42012,0.24259,1.36392,1.23238,1.36692,0.005446,0.005446,0.005446
25,320.39,1.07017,0.83331,1.12365,0.62002,0.39772,0.42435,0.24188,1.34839,1.27427,1.35962,0.005248,0.005248,0.005248
26,332.868,1.05461,0.8023,1.11747,0.52732,0.42672,0.42274,0.24473,1.3599,1.26073,1.39061,0.00505,0.00505,0.00505
27,345.425,1.04941,0.81194,1.10632,0.64371,0.38847,0.41754,0.24026,1.39236,1.26335,1.39095,0.004852,0.004852,0.004852
28,357.879,1.0443,0.7864,1.09928,0.59946,0.40737,0.44544,0.25932,1.34329,1.18567,1.36617,0.004654,0.004654,0.004654
29,370.472,1.04226,0.78441,1.11165,0.64813,0.3921,0.43862,0.25687,1.3666,1.19765,1.39459,0.004456,0.004456,0.004456
30,382.847,0.99065,0.76062,1.08586,0.52349,0.42539,0.43158,0.2499,1.37006,1.23137,1.38279,0.004258,0.004258,0.004258
31,395.514,1.022,0.763,1.07849,0.55216,0.43358,0.43583,0.25148,1.36545,1.2327,1.37928,0.00406,0.00406,0.00406
32,408.135,1.00013,0.73157,1.06181,0.57748,0.42567,0.42939,0.24934,1.39573,1.22384,1.39328,0.003862,0.003862,0.003862
33,420.602,1.00084,0.75777,1.08507,0.60539,0.41141,0.43601,0.25751,1.37419,1.23617,1.37835,0.003664,0.003664,0.003664
34,433.155,1.0044,0.73058,1.08204,0.62945,0.40882,0.4406,0.26324,1.33814,1.19303,1.35394,0.003466,0.003466,0.003466
35,445.864,0.97507,0.7028,1.0547,0.55242,0.434,0.45092,0.2666,1.35715,1.16933,1.37652,0.003268,0.003268,0.003268
